IncidentName#0,"""¡Evita Visbolt!"""
TrialBeginMsg#0,"""ヴィスボルトの攻撃を回避し続けろ。<br>$(0)回以上被雷したら失敗。"""
TrialAbstract#0,"""Continue evitando los ataques de Visbolt."""
TrialLightningStrike#0,"""$(0) fue alcanzado por un rayo. Numero total de rayos $(1) veces."""
TrialDarkerKilledInfo#0,"""Solo quedan $(0) de cuerpos para suprimir el tamaйo de Visvolt."""
TrialDegradationInfo#0,"""¡La escala de Visvolt ha sido suprimida!"""
NpcComOnBegin#0,"""¡Orden de emergencia! ¡Se ha confirmado un visbolt!\u3000Es un arma climatica influenciada por los Darkers. ¡Haz lo mejor que puedas para evitarlo!"""
NpcComOnSuccess#0,"""/face2 ヴィスボルトの停止確認！<br>被害は最小限に抑えられました。<br>よかった……"""
NpcComOnFailure#0,"""/face4 ヴィスボルトの発生は止めましたが……<br>被害は甚大です。通常任務に<br>戻りますが、無理はしないように。"""
NpcComOnBeginTrial#0,"""ヴィスボルトの発生時間には限りが<br>あります。被害を抑えるためにも<br>なんとか回避しつづけてください！"""
NpcComOnLightningStrike#0,"""ヴィスボルト発生の干渉源が<br>付近にいるようです。殲滅できれば<br>発生規模を抑制できます！"""
NpcComOnOneLife#0,"""これ以上、ヴィスボルトを<br>受けるのは危険です！<br>残り時間、何とか回避してください！"""
NpcComOnBegin#1,"""緊急連絡です！<br>ヴィスボルトの発生を確認しました！<br>回避してください！"""
NpcComOnSuccess#1,"""ヴィスボルトの停止を確認しました！<br>被害を最小限に抑えられたみたいです。<br>お疲れさまでした！"""
NpcComOnFailure#1,"""ヴィスボルトの停止を確認しました。<br>しかし、被害は甚大のようです……<br>あまり無理しないでくださいね。"""
NpcComOnBeginTrial#1,"""ヴィスボルトの発生時間には<br>限りがあります！<br>頑張って回避してください！"""
NpcComOnLightningStrike#1,"""ヴィスボルト発生の干渉源を観測！<br>撃破し、発生規模を抑制してください！"""
NpcComOnOneLife#1,"""これ以上、ヴィスボルトの<br>ダメージを受けるのは危険です！<br>注意してください！"""
