Q0#0,"""Bienvenido a casa. ¿Cual elegirias?"""
HELLO#0,"""Bienvenido a casa. ¿Cual elegirias?"""
HELLO_FAV4#0,"""Bienvenido a casa. ¿Cual elegirias?"""
HELLO_FAV3#0,"""Bienvenido a casa. ¿Cual elegirias?"""
HELLO_FAV2#0,"""Bienvenido a casa. ¿Cual elegirias?"""
HELLO_FAV1#0,"""Bienvenido a casa. ¿Cual elegirias?"""
HELLO_FAV0#0,"""Bienvenido a casa. ¿Cual elegirias?"""
TALK_BYE_QUEST#0,"""No te ultimas veces. ¡A por ello!"""
GOODBYE#0,"""Nos vemos"""
GOODBYE_FAV4#0,"""Nos vemos"""
GOODBYE_FAV3#0,"""Nos vemos"""
GOODBYE_FAV2#0,"""Nos vemos"""
GOODBYE_FAV1#0,"""Nos vemos"""
GOODBYE_FAV0#0,"""Nos vemos"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion ２"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
