Q0#0,"""bienvenido"""
HELLO#0,"""bienvenido"""
HELLO_FAV4#0,"""bienvenido"""
HELLO_FAV3#0,"""bienvenido"""
HELLO_FAV2#0,"""bienvenido"""
HELLO_FAV1#0,"""bienvenido"""
HELLO_FAV0#0,"""bienvenido"""
GOODBYE#0,"""Por favor, regresa otra vez."""
GOODBYE_FAV4#0,"""Por favor, regresa otra vez."""
GOODBYE_FAV3#0,"""Por favor, regresa otra vez."""
GOODBYE_FAV2#0,"""Por favor, regresa otra vez."""
GOODBYE_FAV1#0,"""Por favor, regresa otra vez."""
GOODBYE_FAV0#0,"""Por favor, regresa otra vez."""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
